timestamp,symbol,type,side,contracts,price,notional,leverage,margin,fee,pnl
2025-07-13T17:55:00+00:00,ETHUSDT,open,sell,3.3437435214969273,2989.7628019999997,9997.0,10,999.7,3.9988,
2025-07-13T17:55:00+00:00,BNBUSDT,open,buy,8.684576192681797,691.087264,6001.8,10,600.1800000000001,2.40072,
2025-07-13T18:05:00+00:00,SOLUSDT,open,sell,36.95036334523956,162.331286,5998.2,10,599.8199999999999,2.39928,
2025-07-13T18:10:00+00:00,BTCUSDT,open,buy,0.08422783291893239,118761.21768,10003.0,10,1000.3,4.0012,
2025-07-13T18:50:00+00:00,XRPUSDT,open,sell,2091.6126333403054,2.86773942,5998.2,10,599.8199999999999,2.39928,
2025-07-14T03:20:00+00:00,SOLUSDT,close,buy,36.95036334523956,166.119821,6138.187744796157,10,599.8199999999999,2.455275097918463,-139.98774479615702
2025-07-14T03:40:00+00:00,XRPUSDT,close,buy,2091.6126333403054,2.94438305,6158.50878477306,10,599.8199999999999,2.463403513909224,-160.30878477305995
2025-07-14T03:50:00+00:00,XRPUSDT,open,sell,2048.8304592794943,2.92762145,5998.2,10,599.8199999999999,2.39928,
2025-07-14T03:50:00+00:00,SOLUSDT,open,sell,35.90879166916033,167.039873,5998.2,10,599.8199999999999,2.39928,
2025-07-14T04:30:00+00:00,ETHUSDT,close,buy,3.3437435214969273,3051.935306,10204.888907465242,10,999.7,4.081955562986097,-207.8889074652422
2025-07-14T04:40:00+00:00,ETHUSDT,open,sell,3.278409053654442,3049.344922,9997.0,10,999.7,3.9988,
2025-07-14T09:35:00+00:00,XRPUSDT,close,buy,2048.8304592794943,3.00280057,6152.229270957827,10,599.8199999999999,2.460891708383131,-154.0292709578274
2025-07-14T09:50:00+00:00,XRPUSDT,open,sell,2012.409860808318,2.98060555,5998.2,10,599.8199999999999,2.39928,
2025-07-15T01:20:00+00:00,SOLUSDT,close,buy,35.90879166916033,160.33808699999997,5757.546962714703,10,599.8199999999999,2.3030187850858814,240.6530372852963
2025-07-15T01:20:00+00:00,SOLUSDT,open,sell,37.43215422047539,160.241913,5998.200000000001,10,599.82,2.3992800000000005,
2025-07-15T02:25:00+00:00,XRPUSDT,close,buy,2012.409860808318,2.85935755,5754.199329196713,10,599.8199999999999,2.3016797316786852,244.00067080328697
2025-07-15T02:35:00+00:00,XRPUSDT,open,buy,2089.5730305774186,2.87226142,6001.8,10,600.1800000000001,2.40072,
2025-07-15T03:15:00+00:00,BNBUSDT,close,sell,8.684576192681797,676.207077,5872.571882237147,10,600.1800000000001,2.349028752894859,-129.22811776285297
2025-07-15T03:25:00+00:00,BNBUSDT,open,buy,8.850471287596065,678.1333789999999,6001.799999999999,10,600.18,2.4007199999999997,
2025-07-15T14:50:00+00:00,BTCUSDT,close,sell,0.08422783291893239,116030.08052999999,9772.962236451109,10,1000.3,3.9091848945804437,-230.03776354888998
2025-07-15T15:05:00+00:00,BTCUSDT,open,buy,0.08612159163035925,116149.73447,10003.0,10,1000.3,4.0012,
2025-07-15T23:00:00+00:00,ETHUSDT,close,buy,3.278409053654442,3135.470359,10279.354412410743,10,999.7,4.1117417649642976,-282.35441241074426
2025-07-15T23:00:00+00:00,SOLUSDT,close,buy,37.43215422047539,163.869146,6133.975145049598,10,599.82,2.4535900580198393,-135.77514504959723
2025-07-15T23:15:00+00:00,ETHUSDT,open,sell,3.1961135259524416,3127.8613600000003,9997.0,10,999.7,3.9988,
2025-07-15T23:25:00+00:00,SOLUSDT,open,sell,36.63003663003663,163.75086000000002,5998.2,10,599.8199999999999,2.39928,
2025-07-16T09:25:00+00:00,SOLUSDT,close,buy,36.63003663003663,167.160133,6123.081794871795,10,599.8199999999999,2.449232717948718,-124.8817948717943
2025-07-16T09:40:00+00:00,SOLUSDT,open,sell,35.96906660272166,166.759957,5998.200000000001,10,599.82,2.3992800000000005,
2025-07-16T13:30:00+00:00,XRPUSDT,close,sell,2089.5730305774186,2.99320177,6254.513693668594,10,600.1800000000001,2.5018054774674376,252.713693668594
2025-07-16T13:40:00+00:00,XRPUSDT,open,sell,2007.8977310755638,2.98730354,5998.2,10,599.8199999999999,2.39928,
2025-07-16T13:55:00+00:00,ETHUSDT,close,buy,3.1961135259524416,3195.348317,10212.69597609307,10,999.7,4.085078390437228,-215.6959760930696
2025-07-16T14:10:00+00:00,ETHUSDT,open,sell,3.146049034320249,3177.6364230000004,9997.000000000002,10,999.7000000000002,3.998800000000001,
2025-07-16T14:45:00+00:00,ETHUSDT,close,buy,3.146049034320249,3264.649101,10270.746151595518,10,999.7000000000002,4.108298460638207,-273.7461515955175
